20220032	최승비	87	59	66	212	C	
20240077	조지천	53	62	97	212	C	
20220017	박하웅	77	62	74	213	C	
20230063	차호용	72	74	67	213	C	
20210049	나지지	69	94	51	214	C	
20230007	김희하	90	58	66	214	C	
20230076	박미완	87	61	66	214	C	
20230095	김재주	72	87	55	214	C	
20240068	서견천	85	77	52	214	C	
20210090	이태하	63	64	88	215	C	
20230003	박세하	67	58	90	215	C	
20230016	김대도	91	58	66	215	C	
20240015	김수하	55	92	68	215	C	
20240018	박피수	59	73	83	215	C	
20200001	정태운	61	64	91	216	C	
20200059	김성하	75	56	85	216	C	
20210003	한효시	55	85	76	216	C	
20210004	김군시	69	68	79	216	C	
20210097	김상규	73	76	67	216	C	
20220090	이창웅	85	54	77	216	C	
20230049	권지주	77	68	71	216	C	
20240020	지혀근	91	50	75	216	C	
20240047	도승하	68	81	67	216	C	
20200005	김준하	85	55	77	217	C	
20210007	이지우	97	50	70	217	C	
20210021	김장리	86	73	58	217	C	
20220002	이준수	64	70	83	217	C	
20220006	차운하	60	72	85	217	C	
20220015	이기하	72	70	75	217	C	
20220031	강창수	50	74	93	217	C	
20220056	정기영	66	71	80	217	C	
20220068	정혀하	67	88	62	217	C	
20230020	김우하	93	67	57	217	C	
20230057	김창하	75	71	71	217	C	
20230094	양호하	67	68	82	217	C	
20240028	강상석	80	85	52	217	C	
20240054	공상재	68	93	56	217	C	
20240091	정준하	82	70	65	217	C	
20240100	이미윤	71	90	56	217	C	
20220023	황우조	88	57	73	218	C	
20220048	김영하	54	97	67	218	C	
20230015	송준원	54	75	89	218	C	
20230045	박수천	89	50	79	218	C	
20240010	한성수	71	68	79	218	C	
20240036	오용련	95	66	57	218	C	
20240045	진준하	75	90	53	218	C	
20200016	임윤견	56	72	91	219	C	
20210013	김하하	53	92	74	219	C	
20210071	남당주	85	75	59	219	C	
20220010	강원태	77	59	83	219	C	
20220029	김엉하	98	54	67	219	C	
20230055	이영하	52	80	87	219	C	
20230073	이슨운	78	70	71	219	C	
20230084	김미하	90	54	75	219	C	
20230090	이준운	100	51	68	219	C	
20240075	노기주	93	53	73	219	C	
20210009	박벙엉	64	95	61	220	C	
20210072	고견미	88	76	56	220	C	
20220055	조영하	52	74	94	220	C	
20220061	김요하	67	83	70	220	C	
20230079	유재수	94	73	53	220	C	
20200041	서상견	50	73	98	221	C	
20200081	염종연	75	56	90	221	C	
20200097	강이근	83	70	68	221	C	
20210037	한혀하	68	78	75	221	C	
20210061	김건하	84	65	72	221	C	
20220013	손희챙	82	64	75	221	C	
20220036	조하연	86	60	75	221	C	
20220038	김혜우	89	66	66	221	C	
20230040	김응미	62	99	60	221	C	
20200049	홍미균	91	52	79	222	C	
20200060	황지하	77	82	63	222	C	
20200091	박세영	80	69	73	222	C	
20210024	최상준	57	65	100	222	C	
20210027	강상준	87	51	84	222	C	
20220070	이재하	88	76	58	222	C	
20230032	정찬하	96	68	58	222	C	
20230077	김재찬	65	63	94	222	C	
20240089	박주하	77	56	89	222	C	
20240097	이요교	61	82	79	222	C	
20200017	손지하	93	57	73	223	C	
20200019	권준미	70	84	69	223	C	
20200083	김상성	87	71	65	223	C	
20210034	김지숭	61	85	77	223	C	
20210057	최시어	71	68	84	223	C	
20210082	이준이	86	50	87	223	C	
20220001	안상래	74	73	76	223	C	
20220019	변지하	55	97	71	223	C	
20230051	염미하	60	71	92	223	C	
20230060	최성운	78	66	79	223	C	
20240025	김재태	78	95	50	223	C	
20200044	조수찬	75	60	89	224	C	
20210054	조기도	63	71	90	224	C	
20210068	강종하	75	82	67	224	C	
20210081	이창운	94	74	56	224	C	
20220067	최주하	79	78	67	224	C	
20210064	고이우	88	74	63	225	C	
20210084	김미경	51	82	92	225	C	
20210085	박미구	80	90	55	225	C	
20210096	임대재	67	69	89	225	C	
